[Gene ID]	[source_id]	[Product Description]	[Input ID]	[# TM Domains]	[SignalP Scores]	
Tb927.11.10380	Tb927.11.10380:mRNA	hypothetical protein, conserved	Tb927.11.10380	0	N/A	
Tb927.11.1040	Tb927.11.1040:mRNA	TFIIF-like transcription factor subunit 1	Tb927.11.1040	0	N/A	
Tb927.11.10420	Tb927.11.10420:mRNA	DNA-directed RNA polymerase I subunit, putative	Tb927.11.10420	0	N/A	
Tb927.11.10430	Tb927.11.10430:mRNA	hypothetical protein, conserved	Tb927.11.10430	0	N/A	
Tb927.11.1050	Tb927.11.1050:mRNA	ribosome production factor 1, putative	Tb927.11.1050	0	N/A	
Tb927.11.10510	Tb927.11.10510:mRNA	ubiquinone biosynthesis methyltransferase, putative	Tb927.11.10510	0	N/A	
Tb927.11.10540	Tb927.11.10540:mRNA	hypothetical protein, conserved	Tb927.11.10540	0	N/A	
Tb927.11.10560	Tb927.11.10560:mRNA	eukaryotic translation initiation factor 4 gamma 4	Tb927.11.10560	0	N/A	
Tb927.11.10570	Tb927.11.10570:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.11.10570	0	N/A	
Tb927.11.10620	Tb927.11.10620:mRNA	hypothetical protein, conserved	Tb927.11.10620	0	N/A	
Tb927.11.10650	Tb927.11.10650:mRNA	Adaptor protein complex AP-3 subunit beta-3	Tb927.11.10650	0	N/A	
Tb927.11.10660	Tb927.11.10660:mRNA	Basal body protein	Tb927.11.10660	0	N/A	
Tb927.11.1070	Tb927.11.1070:mRNA	glycosomal transporter (GAT3), putative	Tb927.11.1070	3	N/A	
Tb927.11.10760	Tb927.11.10760:mRNA	kinesin-D	Tb927.11.10760	0	N/A	
Tb927.11.10770	Tb927.11.10770:mRNA	VHS domain containing protein, putative	Tb927.11.10770	0	N/A	
Tb927.11.10780	Tb927.11.10780:mRNA	Voltage-dependent anion channel, putative	Tb927.11.10780	0	N/A	
Tb927.11.10820	Tb927.11.10820:mRNA	Casein kinase II subunit beta, putative	Tb927.11.10820	0	N/A	
Tb927.11.10840	Tb927.11.10840:mRNA	hypothetical protein, conserved	Tb927.11.10840	0	N/A	
Tb927.11.10860	Tb927.11.10860:mRNA	20S-pre-rRNA D-site endonuclease NOB1	Tb927.11.10860	0	N/A	
Tb927.11.1090	Tb927.11.1090:mRNA	calpain-like protein, putative	Tb927.11.1090	0	N/A	
Tb927.11.10900	Tb927.11.10900:mRNA	Component of motile flagella 9	Tb927.11.10900	0	N/A	
Tb927.11.10910	Tb927.11.10910:mRNA	40S ribosomal protein SA, putative	Tb927.11.10910	0	N/A	
Tb927.11.10960	Tb927.11.10960:mRNA	2OG-Fe(II) oxygenase superfamily, putative	Tb927.11.10960	0	NN Sum: 4, NN D: .5, HMM Prob: .98	
Tb927.11.10990	Tb927.11.10990:mRNA	methylthioribose-1-phosphate isomerase, putative	Tb927.11.10990	0	N/A	
Tb927.11.11000	Tb927.11.11000:mRNA	Calponin homology (CH) domain containing protein, putative	Tb927.11.11000	0	N/A	
Tb927.11.11010	Tb927.11.11010:mRNA	hypothetical protein, conserved	Tb927.11.11010	0	N/A	
Tb927.11.11080	Tb927.11.11080:mRNA	Nucleoporin NUP149	Tb927.11.11080	0	N/A	
Tb927.11.1110	Tb927.11.1110.1	calpain, putative	Tb927.11.1110	0	N/A	
Tb927.11.11100	Tb927.11.11100:mRNA	glucosamine 6-phosphate N-acetyltransferase	Tb927.11.11100	0	N/A	
Tb927.11.11170	Tb927.11.11170:mRNA	hypothetical protein, conserved	Tb927.11.11170	0	N/A	
Tb927.11.11210	Tb927.11.11210:mRNA	paraflagellar rod component, putative	Tb927.11.11210	0	N/A	
Tb927.11.11250	Tb927.11.11250:mRNA	cytosolic malate dehydrogenase	Tb927.11.11250	0	N/A	
Tb927.11.11290	Tb927.11.11290:mRNA	heat shock protein 70, putative	Tb927.11.11290	0	N/A	
Tb927.11.11330	Tb927.11.11330:mRNA	heat shock protein 70	Tb927.11.11330	0	N/A	
Tb927.11.11370	Tb927.11.11370:mRNA	receptor for activated C kinase 1	Tb927.11.11370	0	N/A	
Tb927.11.11430	Tb927.11.11430:mRNA	cullin 1, putative	Tb927.11.11430	0	N/A	
Tb927.11.11435	Tb927.11.11435:mRNA	dynein light chain type 1, putative	Tb927.11.11435	0	N/A	
Tb927.11.11460	Tb927.11.11460:mRNA	Mitochondrial import receptor subunit ATOM69	Tb927.11.11460	0	N/A	
Tb927.11.11480	Tb927.11.11480:mRNA	Trichohyalin, putative	Tb927.11.11480	0	N/A	
Tb927.11.11520	Tb927.11.11520:mRNA	glycosomal membrane protein	Tb927.11.11520	2	N/A	
Tb927.11.11550	Tb927.11.11550:mRNA	DNA topoisomerase II alpha, putative	Tb927.11.11550	0	N/A	
Tb927.11.11570	Tb927.11.11570:mRNA	Translation initiation factor eIF-2B subunit epsilon, putative	Tb927.11.11570	0	N/A	
Tb927.11.11590	Tb927.11.11590:mRNA	Eukaryotic translation initiation factor 3 subunit E	Tb927.11.11590	0	N/A	
Tb927.11.11610	Tb927.11.11610:mRNA	Cactus-binding C-terminus of cactin protein, putative	Tb927.11.11610	0	N/A	
Tb927.11.11650	Tb927.11.11650:mRNA	Centrosomal protein of 164 kDa, putative	Tb927.11.11650	0	N/A	
Tb927.11.11660	Tb927.11.11660:mRNA	conserved protein	Tb927.11.11660	0	N/A	
Tb927.11.11680	Tb927.11.11680:mRNA	2-oxoglutarate dehydrogenase E2 component, putative	Tb927.11.11680	0	N/A	
Tb927.11.11690	Tb927.11.11690:mRNA	Vacuolar proton pump subunit B, putative	Tb927.11.11690	0	N/A	
Tb927.11.11720	Tb927.11.11720:mRNA	FG-GAP repeat protein, putative	Tb927.11.11720	1	NN Sum: 4, NN D: .88, HMM Prob: 1	
Tb927.11.11725	Tb927.11.11725:mRNA	ribosomal protein S14p/S29e	Tb927.11.11725	0	N/A	
Tb927.11.11730	Tb927.11.11730:mRNA	MRP protein, putative	Tb927.11.11730	0	N/A	
Tb927.11.11770	Tb927.11.11770:mRNA	Eukaryotic translation initiation factor 4E-3	Tb927.11.11770	0	N/A	
Tb927.11.11780	Tb927.11.11780:mRNA	acyl-CoA dehydrogenase, putative	Tb927.11.11780	0	N/A	
Tb927.11.11830	Tb927.11.11830:mRNA	40S ribosomal protein S17, putative	Tb927.11.11830	0	N/A	
Tb927.11.11860	Tb927.11.11860:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.11.11860	0	N/A	
Tb927.11.11900	Tb927.11.11900:mRNA	Coatomer subunit gamma	Tb927.11.11900	0	N/A	
Tb927.11.1200	Tb927.11.1200:mRNA	hypothetical protein, conserved	Tb927.11.1200	0	N/A	
Tb927.11.12210	Tb927.11.12210:mRNA	Domain of unknown function (DUF4586), putative	Tb927.11.12210	0	N/A	
Tb927.11.12230	Tb927.11.12230:mRNA	ATP-dependent protease ATPase subunit HslU2	Tb927.11.12230	0	NN Sum: 4, NN D: .51, HMM Prob: .99	
Tb927.11.12410	Tb927.11.12410:mRNA	kinetoplastid kinetochore protein 10	Tb927.11.12410	0	N/A	
Tb927.11.12440	Tb927.11.12440:mRNA	Plus-3 domain/Zinc finger, C3HC4 type (RING finger), putative	Tb927.11.12440	0	N/A	
Tb927.11.12480	Tb927.11.12480:mRNA	Kinetochore interacting phosphatase 7	Tb927.11.12480	0	N/A	
Tb927.11.1250	Tb927.11.1250:mRNA	Mitochondrial SSU ribosomal protein, putative	Tb927.11.1250	0	N/A	
Tb927.11.12530	Tb927.11.12530:mRNA	Flagellum attachment zone protein 3	Tb927.11.12530	0	NN Sum: 0, NN D: .24, HMM Prob: .93	
Tb927.11.12540	Tb927.11.12540:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.11.12540	0	N/A	
Tb927.11.12560	Tb927.11.12560:mRNA	hypothetical protein	Tb927.11.12560	0	N/A	
Tb927.11.12590	Tb927.11.12590:mRNA	Der1-like family, putative	Tb927.11.12590	3	N/A	
Tb927.11.1260	Tb927.11.1260:mRNA	copper-transporting ATPase-like protein, putative	Tb927.11.1260	8	N/A	
Tb927.11.12670	Tb927.11.12670:mRNA	Methyltransferase TYW3, putative	Tb927.11.12670	0	N/A	
Tb927.11.1270	Tb927.11.1270:mRNA	Mitochondrial ATP synthase subunit, putative	Tb927.11.1270	2	N/A	
Tb927.11.12830	Tb927.11.12830:mRNA	acyl-CoA binding protein, putative	Tb927.11.12830	0	N/A	
Tb927.11.12850	Tb927.11.12850:mRNA	oligopeptidase b	Tb927.11.12850	0	N/A	
Tb927.11.1290	Tb927.11.1290:mRNA	hypothetical protein, conserved	Tb927.11.1290	0	N/A	
Tb927.11.12940	Tb927.11.12940:mRNA	Uncharacterised protein family (UPF0160), putative	Tb927.11.12940	0	N/A	
Tb927.11.13010	Tb927.11.13010:mRNA	hypothetical protein	Tb927.11.13010	0	N/A	
Tb927.11.13050	Tb927.11.13050:mRNA	calmodulin	Tb927.11.13050	0	N/A	
Tb927.11.13060	Tb927.11.13060:mRNA	translation-associated element 2, putative	Tb927.11.13060	0	N/A	
Tb927.11.13080	Tb927.11.13080:mRNA	hypothetical protein, conserved	Tb927.11.13080	0	N/A	
Tb927.11.13180	Tb927.11.13180:mRNA	Present in the outer mitochondrial membrane proteome 10	Tb927.11.13180	1	NN Sum: 2, NN D: .46, HMM Prob: .97	
Tb927.11.13190	Tb927.11.13190:mRNA	elongation factor 1 gamma, putative	Tb927.11.13190	0	NN Sum: 0, NN D: .33, HMM Prob: .7	
Tb927.11.13220	Tb927.11.13220:mRNA	phospholipid:diacylglycerol acyltransferase-like protein	Tb927.11.13220	1	N/A	
Tb927.11.13230	Tb927.11.13230:mRNA	VAMP-associated protein, putative	Tb927.11.13230	1	N/A	
Tb927.11.13250	Tb927.11.13250:mRNA	eukaryotic translation initiation factor 2 gamma, putative	Tb927.11.13250	0	N/A	
Tb927.11.13270	Tb927.11.13270:mRNA	hypothetical protein, conserved	Tb927.11.13270	0	N/A	
Tb927.11.13280	Tb927.11.13280:mRNA	mitochondrial RNA binding protein 2	Tb927.11.13280	0	NN Sum: 0, NN D: .31, HMM Prob: .92	
Tb927.11.13320	Tb927.11.13320:mRNA	hypothetical protein, conserved	Tb927.11.13320	0	NN Sum: 3, NN D: .46, HMM Prob: .01	
Tb927.11.13360	Tb927.11.13360:mRNA	AAA ATPase, putative	Tb927.11.13360	0	N/A	
Tb927.11.13400	Tb927.11.13400:mRNA	Bromodomain, putative	Tb927.11.13400	0	N/A	
Tb927.11.13460	Tb927.11.13460:mRNA	hypothetical protein, conserved	Tb927.11.13460	0	N/A	
Tb927.11.13470	Tb927.11.13470:mRNA	PPPDE putative peptidase domain containing protein, putative	Tb927.11.13470	0	NN Sum: 1, NN D: .31, HMM Prob: .59	
Tb927.11.13500	Tb927.11.13500:mRNA	par1	Tb927.11.13500	0	N/A	
Tb927.11.13520	Tb927.11.13520:mRNA	hypothetical protein, conserved	Tb927.11.13520	1	NN Sum: 3, NN D: .55, HMM Prob: .01	
Tb927.11.13540	Tb927.11.13540:mRNA	hypothetical protein, conserved	Tb927.11.13540	0	N/A	
Tb927.11.13570	Tb927.11.13570:mRNA	hypothetical protein, conserved	Tb927.11.13570	0	N/A	
Tb927.11.13580	Tb927.11.13580:mRNA	ubiquinone biosynthesis protein-like protein	Tb927.11.13580	1	NN Sum: 4, NN D: .53, HMM Prob: .97	
Tb927.11.13610	Tb927.11.13610:mRNA	rhodanese-like domain containing protein, putative	Tb927.11.13610	0	N/A	
Tb927.11.13680	Tb927.11.13680:mRNA	hypothetical protein, conserved	Tb927.11.13680	0	N/A	
Tb927.11.13690	Tb927.11.13690.1	Radial spoke protein 11	Tb927.11.13690	0	N/A	
Tb927.11.13690	Tb927.11.13690.2	Radial spoke protein 11	Tb927.11.13690	0	N/A	
Tb927.11.13710	Tb927.11.13710:mRNA	hypothetical protein, conserved	Tb927.11.13710	1	N/A	
Tb927.11.13730	Tb927.11.13730:mRNA	ornithine decarboxylase	Tb927.11.13730	0	N/A	
Tb927.11.13750	Tb927.11.13750:mRNA	Ras-related protein Rab4	Tb927.11.13750	0	N/A	
Tb927.11.13780	Tb927.11.13780:mRNA	profilin	Tb927.11.13780	0	N/A	
Tb927.11.13810	Tb927.11.13810:mRNA	ATP- dependent RNA helicase, putative	Tb927.11.13810	0	N/A	
Tb927.11.13870	Tb927.11.13870:mRNA	uncharacterized protein, PH0010 family/AmmeMemoRadiSam system protein A, putative	Tb927.11.13870	0	N/A	
Tb927.11.13920	Tb927.11.13920:mRNA	kinesin-II 85 Kd subunit, putative	Tb927.11.13920	0	N/A	
Tb927.11.13970	Tb927.11.13970:mRNA	Pab1p-dependent poly(A) ribonuclease subunit, putative	Tb927.11.13970	0	N/A	
Tb927.11.14020	Tb927.11.14020:mRNA	nuclear RNA binding domain 2	Tb927.11.14020	0	N/A	
Tb927.11.14050	Tb927.11.14050:mRNA	hypothetical protein, conserved	Tb927.11.14050	0	N/A	
Tb927.11.14090	Tb927.11.14090:mRNA	Double RNA binding domain protein 18	Tb927.11.14090	0	N/A	
Tb927.11.14100	Tb927.11.14100:mRNA	Double RNA-binding domain containing protein 4	Tb927.11.14100	0	N/A	
Tb927.11.14120	Tb927.11.14120:mRNA	phenylalanyl-tRNA synthetase alpha chain, putative	Tb927.11.14120	0	N/A	
Tb927.11.14130	Tb927.11.14130:mRNA	ribosomal protein L18, putative	Tb927.11.14130	0	N/A	
Tb927.11.14140	Tb927.11.14140:mRNA	ethanolamine-phosphate cytidylyltransferase	Tb927.11.14140	0	N/A	
Tb927.11.14165	Tb927.11.14165:mRNA	hypothetical protein	Tb927.11.14165	0	N/A	
Tb927.11.14190	Tb927.11.14190:mRNA	Staphylococcal nuclease homologue/Tudor domain containing protein, putative	Tb927.11.14190	0	N/A	
Tb927.11.1420	Tb927.11.1420:mRNA	hypothetical protein, conserved	Tb927.11.1420	0	N/A	
Tb927.11.14200	Tb927.11.14200:mRNA	ubiquitin-conjugating enzyme E2, putative	Tb927.11.14200	0	N/A	
Tb927.11.14210	Tb927.11.14210:mRNA	conserved protein	Tb927.11.14210	0	N/A	
Tb927.11.14230	Tb927.11.14230:mRNA	Vps23 core domain containing protein, putative	Tb927.11.14230	0	N/A	
Tb927.11.14250	Tb927.11.14250:mRNA	T-complex protein 1, epsilon subunit, putative	Tb927.11.14250	0	N/A	
Tb927.11.14280	Tb927.11.14280:mRNA	septum formation protein MAF homologue, putative	Tb927.11.14280	0	N/A	
Tb927.11.14290	Tb927.11.14290:mRNA	vacuolar sorting protein, putative	Tb927.11.14290	0	N/A	
Tb927.11.1430	Tb927.11.1430:mRNA	Component of motile flagella 2	Tb927.11.1430	0	N/A	
Tb927.11.14300	Tb927.11.14300:mRNA	Dynein intermediate chain, axonemal	Tb927.11.14300	0	N/A	
Tb927.11.14330	Tb927.11.14330:mRNA	HECT-domain (ubiquitin-transferase), putative	Tb927.11.14330	0	N/A	
Tb927.11.14360	Tb927.11.14360:mRNA	mitochondrial carrier protein	Tb927.11.14360	2	N/A	
Tb927.11.14390	Tb927.11.14390:mRNA	hypothetical protein, conserved	Tb927.11.14390	0	N/A	
Tb927.11.14430	Tb927.11.14430:mRNA	proteasome regulatory non-ATP-ase subunit	Tb927.11.14430	0	N/A	
Tb927.11.14450	Tb927.11.14450:mRNA	hypothetical protein, conserved	Tb927.11.14450	0	N/A	
Tb927.11.14460	Tb927.11.14460:mRNA	ADP-ribosylation factor GTPase activating protein 1, putative	Tb927.11.14460	0	N/A	
Tb927.11.1450	Tb927.11.1450:mRNA	2-oxoglutarate dehydrogenase E1 component, putative	Tb927.11.1450	0	N/A	
Tb927.11.14560	Tb927.11.14560:mRNA	Cleavage and polyadenylation specificity factor CPSF160, putative	Tb927.11.14560	0	NN Sum: 0, NN D: .17, HMM Prob: .69	
Tb927.11.14580	Tb927.11.14580:mRNA	Bifunctional Monophosphate RNA Kinase/RNA guanylyltransferase	Tb927.11.14580	0	N/A	
Tb927.11.14590	Tb927.11.14590:mRNA	G5-interacting protein	Tb927.11.14590	0	N/A	
Tb927.11.14730	Tb927.11.14730:mRNA	Metalloprotease M41 FtsH, putative	Tb927.11.14730	1	N/A	
Tb927.11.14780	Tb927.11.14780:mRNA	phosphomannose isomerase	Tb927.11.14780	0	N/A	
Tb927.11.14880	Tb927.11.14880:mRNA	Paraflagellar Rod Proteome Component 9, putative	Tb927.11.14880	0	N/A	
Tb927.11.14900	Tb927.11.14900:mRNA	coatomer subunit epsilon	Tb927.11.14900	0	N/A	
Tb927.11.14960	Tb927.11.14960:mRNA	pumilio/PUF RNA binding protein 7, putative	Tb927.11.14960	0	N/A	
Tb927.11.15020	Tb927.11.15020:mRNA	iron superoxide dismutase	Tb927.11.15020	0	N/A	
Tb927.11.15040	Tb927.11.15040:mRNA	Chaperonin HSP60, mitochondrial	Tb927.11.15040	0	N/A	
Tb927.11.15100	Tb927.11.15100:mRNA	Tb5.20	Tb927.11.15100	0	N/A	
Tb927.11.15130	Tb927.11.15130:mRNA	DnaJ homolog, putative	Tb927.11.15130	0	N/A	
Tb927.11.15140	Tb927.11.15140:mRNA	bilobe region protein, putative	Tb927.11.15140	0	N/A	
Tb927.11.15150	Tb927.11.15150:mRNA	1-acyl-sn-glycerol-3-phosphate acyltransferase, putative	Tb927.11.15150	1	NN Sum: 3, NN D: .64, HMM Prob: .07	
Tb927.11.15180	Tb927.11.15180:mRNA	hypothetical protein, conserved	Tb927.11.15180	0	N/A	
Tb927.11.15240	Tb927.11.15240:mRNA	Ras-related protein RAB2B, putative	Tb927.11.15240	0	N/A	
Tb927.11.15270	Tb927.11.15270:mRNA	phosphopantetheine adenylyltransferase, putative	Tb927.11.15270	0	N/A	
Tb927.11.15310	Tb927.11.15310:mRNA	hypothetical protein, conserved	Tb927.11.15310	0	N/A	
Tb927.11.15370	Tb927.11.15370:mRNA	Importin subunit beta-4, putative	Tb927.11.15370	0	N/A	
Tb927.11.1540	Tb927.11.1540:mRNA	isovaleryl-CoA dehydrogenase	Tb927.11.1540	0	N/A	
Tb927.11.15420	Tb927.11.15420:mRNA	eukaryotic translation initiation factor 3 subunit k	Tb927.11.15420	0	N/A	
Tb927.11.15450	Tb927.11.15450:mRNA	Basal body protein	Tb927.11.15450	0	N/A	
Tb927.11.15460	Tb927.11.15460:mRNA	ATP-dependent DEAD/H RNA helicase, putative	Tb927.11.15460	0	N/A	
Tb927.11.15480	Tb927.11.15480:mRNA	heat shock protein Hsp20, putative	Tb927.11.15480	0	N/A	
Tb927.11.15490	Tb927.11.15490:mRNA	Tb-291 membrane associated protein, putative	Tb927.11.15490	0	N/A	
Tb927.11.15560	Tb927.11.15560:mRNA	Nucleoporin NUP53a	Tb927.11.15560	0	N/A	
Tb927.11.15580	Tb927.11.15580:mRNA	TFIIF-like transcription factor subunit 2	Tb927.11.15580	0	N/A	
Tb927.11.1560	Tb927.11.1560:mRNA	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative	Tb927.11.1560	0	N/A	
Tb927.11.15640	Tb927.11.15640:mRNA	mitochondrial RNA binding complex 1 subunit	Tb927.11.15640	0	N/A	
Tb927.11.15680	Tb927.11.15680:mRNA	hypothetical protein, conserved	Tb927.11.15680	0	N/A	
Tb927.11.15820	Tb927.11.15820:mRNA	iron superoxide dismutase C, mitochondrial	Tb927.11.15820	0	NN Sum: 4, NN D: .51, HMM Prob: .96	
Tb927.11.15850	Tb927.11.15850:mRNA	kinteoplast poly(A) polymerase complex 1 subunit	Tb927.11.15850	0	N/A	
Tb927.11.15870	Tb927.11.15870:mRNA	hypothetical protein, conserved	Tb927.11.15870	2	N/A	
Tb927.11.15900	Tb927.11.15900:mRNA	60S ribosomal protein L27, putative	Tb927.11.15900	0	N/A	
Tb927.11.15910	Tb927.11.15910:mRNA	iron superoxide dismutase	Tb927.11.15910	0	N/A	
Tb927.11.15940	Tb927.11.15940:mRNA	hypothetical protein, conserved	Tb927.11.15940	0	N/A	
Tb927.11.15960	Tb927.11.15960:mRNA	amino acid transporter, putative	Tb927.11.15960	11	N/A	
Tb927.11.15990	Tb927.11.15990:mRNA	Nucleoporin NUP109	Tb927.11.15990	0	N/A	
Tb927.11.16010	Tb927.11.16010:mRNA	hypothetical protein, conserved	Tb927.11.16010	22	N/A	
Tb927.11.16030	Tb927.11.16030:mRNA	proteasome regulatory non-ATP-ase subunit 7	Tb927.11.16030	0	N/A	
Tb927.11.16050	Tb927.11.16050:mRNA	CS domain/TPR repeat, putative	Tb927.11.16050	0	N/A	
Tb927.11.16080	Tb927.11.16080:mRNA	Soluble NSF attachment protein, SNAP, putative	Tb927.11.16080	0	N/A	
Tb927.11.16090	Tb927.11.16090:mRNA	Outer dynein arm docking complex protein 2, putative	Tb927.11.16090	0	N/A	
Tb927.11.16100	Tb927.11.16100:mRNA	ubiquitin carboxyl-terminal hydrolase, putative	Tb927.11.16100	0	N/A	
Tb927.11.16110	Tb927.11.16110:mRNA	integrin alpha chain protein, putative	Tb927.11.16110	1	NN Sum: 3, NN D: .59, HMM Prob: .15	
Tb927.11.16130	Tb927.11.16130:mRNA	nucleoside diphosphate kinase	Tb927.11.16130	0	N/A	
Tb927.11.16150	Tb927.11.16150:mRNA	tubulin binding cofactor A, putative	Tb927.11.16150	0	N/A	
Tb927.11.16160	Tb927.11.16160:mRNA	ATP binding protein-like protein	Tb927.11.16160	0	N/A	
Tb927.11.1620	Tb927.11.1620:mRNA	hypothetical protein, conserved	Tb927.11.1620	0	N/A	
Tb927.11.16200	Tb927.11.16200:mRNA	cytoskeleton-associated protein 17	Tb927.11.16200	0	N/A	
Tb927.11.1630	Tb927.11.1630:mRNA	LSU ribosomal protein, mitochondrial, putative	Tb927.11.1630	0	N/A	
Tb927.11.16390	Tb927.11.16390:mRNA	cyclin dependent kinases regulatory subunit, putative	Tb927.11.16390	0	N/A	
Tb927.11.16400	Tb927.11.16400:mRNA	kinetoplast-associated protein 3, putative	Tb927.11.16400	0	N/A	
Tb927.11.16480	Tb927.11.16480:mRNA	enoyl-CoA hydratase/isomerase family protein, putative	Tb927.11.16480	0	N/A	
Tb927.11.16540	Tb927.11.16540:mRNA	Roadblock/LC7 domain containing protein, putative	Tb927.11.16540	0	N/A	
Tb927.11.16550	Tb927.11.16550:mRNA	Zinc finger protein, C3H1 type-like	Tb927.11.16550	0	N/A	
Tb927.11.1660	Tb927.11.1660:mRNA	vesicular transport protein (CDC48 homologue), putative	Tb927.11.1660	0	N/A	
Tb927.11.16600	Tb927.11.16600:mRNA	exosome-associated protein 2	Tb927.11.16600	0	N/A	
Tb927.11.16610	Tb927.11.16610:mRNA	zinc-finger of a C2HC-type, putative	Tb927.11.16610	0	N/A	
Tb927.11.16630	Tb927.11.16630:mRNA	major facilitator superfamily, putative	Tb927.11.16630	14	N/A	
Tb927.11.16660	Tb927.11.16660:mRNA	Dopey, N-terminal, putative	Tb927.11.16660	0	N/A	
Tb927.11.16670	Tb927.11.16670:mRNA	hypothetical protein, conserved	Tb927.11.16670	0	NN Sum: 1, NN D: .41, HMM Prob: .6	
Tb927.11.1670	Tb927.11.1670:mRNA	cysteine desulfurase	Tb927.11.1670	0	NN Sum: 4, NN D: .62, HMM Prob: 1	
Tb927.11.16730	Tb927.11.16730:mRNA	dihydrolipoyl dehydrogenase	Tb927.11.16730	0	N/A	
Tb927.11.16760	Tb927.11.16760:mRNA	T-complex protein 1, alpha subunit, putative	Tb927.11.16760	0	N/A	
Tb927.11.16770	Tb927.11.16770:mRNA	glucosamine-6-phosphate isomerase, putative	Tb927.11.16770	0	N/A	
Tb927.11.1680	Tb927.11.1680:mRNA	vesicular-fusion protein SEC18, putative	Tb927.11.1680	1	NN Sum: 4, NN D: .58, HMM Prob: .98	
Tb927.11.16810	Tb927.11.16810:mRNA	dynein light intermediate chain D1bLIC, putative	Tb927.11.16810	0	N/A	
Tb927.11.16830	Tb927.11.16830:mRNA	Rab-like 5, small G protein	Tb927.11.16830	0	N/A	
Tb927.11.16870	Tb927.11.16870:mRNA	NADH-ubiquinone oxidoreductase B8 subunit	Tb927.11.16870	0	NN Sum: 2, NN D: .35, HMM Prob: .7	
Tb927.11.16880	Tb927.11.16880:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.11.16880	0	N/A	
Tb927.11.16890	Tb927.11.16890:mRNA	Tetratricopeptide-like helical domain containing protein	Tb927.11.16890	0	N/A	
Tb927.11.16900	Tb927.11.16900.1	hypothetical protein	Tb927.11.16900	0	N/A	
Tb927.11.16970	Tb927.11.16970:mRNA	protein phosphatase 4, putative	Tb927.11.16970	0	N/A	
Tb927.11.1700	Tb927.11.1700:mRNA	hypothetical protein, conserved	Tb927.11.1700	0	NN Sum: 3, NN D: .56, HMM Prob: .98	
Tb927.11.17000	Tb927.11.17000:mRNA	AIR9-like protein	Tb927.11.17000	0	N/A	
Tb927.11.1710	Tb927.11.1710:mRNA	guide RNA-binding protein of 21 kDa	Tb927.11.1710	0	N/A	
Tb927.11.1740	Tb927.11.1740:mRNA	intraflagellar transport protein 88	Tb927.11.1740	0	N/A	
Tb927.11.1820	Tb927.11.1820:mRNA	translation initiation factor eIF2B delta subunit, putative	Tb927.11.1820	0	N/A	
Tb927.11.1840	Tb927.11.1840:mRNA	hypothetical protein, conserved	Tb927.11.1840	0	N/A	
Tb927.11.1850	Tb927.11.1850:mRNA	hypothetical protein, conserved	Tb927.11.1850	0	N/A	
Tb927.11.1890	Tb927.11.1890:mRNA	Serine-threonine kinase receptor-associated protein, putative	Tb927.11.1890	0	N/A	
Tb927.11.1900	Tb927.11.1900:mRNA	T-complex protein 1, beta subunit, putative	Tb927.11.1900	0	N/A	
Tb927.11.1960	Tb927.11.1960:mRNA	leucine-rich repeat protein (LRRP), putative	Tb927.11.1960	0	N/A	
Tb927.11.1980	Tb927.11.1980:mRNA	zinc finger protein family member, putative	Tb927.11.1980	0	N/A	
Tb927.11.1990	Tb927.11.1990:mRNA	arginyl-tRNA synthetase, putative	Tb927.11.1990	0	N/A	
Tb927.11.2030	Tb927.11.2030:mRNA	hypothetical protein, conserved	Tb927.11.2030	0	NN Sum: 0, NN D: .34, HMM Prob: .7	
Tb927.11.2060	Tb927.11.2060:mRNA	60S acidic ribosomal protein P0, putative	Tb927.11.2060	0	N/A	
Tb927.11.2100	Tb927.11.2100:mRNA	Divergent AAA domain containing protein, putative	Tb927.11.2100	0	N/A	
Tb927.11.2110	Tb927.11.2110:mRNA	Snf7, putative	Tb927.11.2110	0	N/A	
Tb927.11.2120	Tb927.11.2120:mRNA	CBF/Mak21 family, putative	Tb927.11.2120	0	N/A	
Tb927.11.2130	Tb927.11.2130:mRNA	proteasome regulatory non-ATP-ase subunit 3	Tb927.11.2130	0	N/A	
Tb927.11.2200	Tb927.11.2200:mRNA	DNA-directed RNA polymerase II, putative	Tb927.11.2200	0	N/A	
Tb927.11.2245	Tb927.11.2245:mRNA	hypothetical protein	Tb927.11.2245	1	NN Sum: 3, NN D: .45, HMM Prob: .03	
Tb927.11.2260	Tb927.11.2260:mRNA	Eukaryotic translation initiation factor 4E-1	Tb927.11.2260	0	N/A	
Tb927.11.2270	Tb927.11.2270:mRNA	inner dynein arm I1 intermediate chain, axonemal	Tb927.11.2270	0	N/A	
Tb927.11.2280	Tb927.11.2280:mRNA	BRO1-like domain/ALIX V-shaped domain binding to HIV, putative	Tb927.11.2280	0	N/A	
Tb927.11.2300	Tb927.11.2300:mRNA	eukaryotic peptide chain release factor subunit 1, putative	Tb927.11.2300	0	N/A	
Tb927.11.2340	Tb927.11.2340:mRNA	hypothetical protein, conserved	Tb927.11.2340	0	N/A	
Tb927.11.2360	Tb927.11.2360:mRNA	phenylalanyl-tRNA synthetase (beta subunit), putative	Tb927.11.2360	0	N/A	
