protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,025h_A,0.5h_A,1h_A,2h_A,4h_A,8h_A,20h_A,28h_A,0h_B,025h_B,0.5h_B,1h_B,2h_B,4h_B,8h_B,20h_B,28h_B,0h_C,025h_C,0.5h_C,1h_C,2h_C,4h_C,8h_C,20h_C,28h_C
Tb927.10.8720,0.894346108,0.052643716,20.49750328,2.406135634,0.050106384,0.054117192,15.36623239,7,0.046468182,Tb927.10.8720,"CCR4-NOT transcription complex subunit 10, putative",1,GO:0005737|cytoplasm; GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005515|protein binding; GO:0010608|posttranscriptional regulation of gene expression; GO:0020015|glycosome,0.951947042,0.917671653,0.923533768,0.906705959,0.868995281,0.78384608,0.655728952,0.376632555,0.284912147,,0.924843225,,,0.850260678,0.780476801,0.42492393,0.376926611,,0.942551357,0.927191747,0.928541517,0.943681431,0.856531848,0.792809119,0.612091353,0.413018391,0.271544164
Tb927.10.8730,,,,,,,,none,,Tb927.10.8730,"ABC1 family, putative",0,GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0005743|mitochondrial inner membrane; GO:0006468|protein phosphorylation; GO:0005739|mitochondrion,0.954888842,0.933377828,0.926459328,0.917111915,0.924744765,0.838016842,0.703415177,0.451469499,0.331911728,,,,,,0.789390597,,,0.340918879,,,,,,0.840572875,0.734297903,,
Tb927.10.8770,,,,,,,,none,,Tb927.10.8770;Tb11.v5.0452,"disgorgin, putative;GTPase activating protein, putative",0,GO:0000331|contractile vacuole; GO:0097014|ciliary plasm; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,,,,,,,,,,,,,,,0.632708578,,,,,,,,,,,
Tb927.10.8780,0.844153438,0.066199392,18.81620225,3.443785646,0.096768767,0.07142465,15.30799009,7,0.016737348,Tb927.10.8780,"AAA domain containing protein, putative",1,none,0.947133334,,0.918824816,0.925512433,0.860049164,0.755124519,0.623710986,0.390580326,0.299727572,,,0.896343427,0.904800814,0.910954538,0.780143134,0.701654059,0.373385013,0.291717414,,0.910017506,0.911356783,0.896306765,0.872507781,0.785643283,0.65330349,0.358174446,0.279933867
Tb927.10.8790,,,,,,,,none,,Tb927.10.8790,"OTU-like cysteine protease, putative",0,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005737|cytoplasm,,,,,,0.766642053,0.712426545,0.432419668,,,,,,0.867161337,0.784339896,0.679787069,0.370315803,,,,0.902199245,0.914594391,,0.817722496,0.650651364,0.409125384,0.237039081
Tb927.10.880,,,,,,,,none,,Tb927.10.880,thymidine kinase,0,GO:0005634|nucleus; GO:0005829|cytosol; GO:0015949|nucleobase-containing small molecule interconversion; GO:0004797|thymidine kinase activity; GO:0005524|ATP binding; GO:0006220|pyrimidine nucleotide metabolic process; GO:0005739|mitochondrion; GO:0010139|pyrimidine deoxyribonucleotide salvage,,0.979867695,,0.917046022,0.78692349,0.310304906,0.101133818,0.031648362,,,,,0.791142395,,0.304929871,,,,,,,0.745394611,0.856517629,0.153480489,,,
Tb927.10.8810,,,,,,,,none,,Tb927.10.8810,"hypothetical protein, conserved",0,GO:0036064|ciliary basal body; GO:0005737|cytoplasm; GO:0005929|cilium,,,,0.751894978,,0.197227996,,,,,,,,,,0.556250407,,0.274255349,,,,,,0.755335912,,,
Tb927.10.8820,0.874577121,0.075699378,7.884869008,3.288596774,0.064141891,0.074083112,6.042015988,1,0.029576038,Tb927.10.8820,"hook complex protein, conserved",1,GO:0032403|protein-containing complex binding,,0.85004841,,,0.773265975,0.579105818,0.321485847,0.13915281,,,,,0.936750834,0.744293238,0.565862899,0.4565395,,,,,,,0.798553301,0.590470796,0.405740324,0.126262613,
Tb927.10.8830,0.92506428,0.045698379,17.79750109,2.051429169,0.092701529,0.052725358,14.19075524,6,0.013374318,Tb927.10.8830,Flagellum attachment zone protein 5,1,GO:0005515|protein binding,0.970873437,,,0.970441644,0.914509825,0.837008519,0.65737958,0.38784354,0.283099215,,,,0.959717072,,0.832653993,0.640121116,0.372174039,0.301535638,,,,0.955971394,0.921064475,0.832260101,0.664521188,0.393914162,0.285289578
Tb927.10.8850,1.073090737,,23.03919276,,1.18E-09,,15.94798022,8,0.017189612,Tb927.10.8850,"A distinct subfamily of CDD/CDA-like deaminases, putative",1,GO:0003723|RNA binding; GO:0003824|catalytic activity; GO:0005737|cytoplasm,,,,,,,,0.472342339,0.302719655,,,,,,0.900127097,0.793229772,0.462270219,0.309636306,,,,,,0.90250869,0.780695314,0.444767214,0.293088422
Tb927.10.8870,,,,,,,,none,,Tb927.10.8870,"Myosin-like coiled-coil protein, putative",0,GO:0019905|syntaxin binding; GO:0005737|cytoplasm,,,,,,,,,,,,,,,,0.61331636,,0.152026363,,,,,,0.746101889,0.655145053,,0.155689197
Tb927.10.8880,0.789412638,0.045186245,14.01970944,1.868280864,0.160034831,0.046285607,12.86536972,4,0.014756818,Tb927.10.8880,RNA interference factor 4,1,GO:0008408|3'-5' exonuclease activity; GO:0005634|nucleus; GO:0005737|cytoplasm,0.946285911,0.936756988,,0.916949407,0.865888281,0.749410752,0.58261325,0.334920152,0.280190306,,,,,,0.712556251,0.642934783,0.356483718,0.254822285,,0.933937081,0.907704865,,0.847801315,0.712269336,0.602156153,0.344159251,0.285551313
Tb927.10.8890,0.855809148,0.04575416,14.63723933,1.700549454,0.206368103,0.051011992,14.15453402,6,0.010966088,Tb927.10.8890,"kinetoplast DNA-associated protein, putative",1,GO:0003677|DNA binding; GO:0005739|mitochondrion; GO:0006323|DNA packaging; GO:0020023|kinetoplast,0.98564836,,0.965373183,0.972787423,0.949604262,0.855650972,0.686507072,0.450056708,0.341930116,,,,,0.954771386,0.837849362,0.699871917,0.321249444,0.308921405,,,,,0.959525676,0.837699618,0.714958584,0.444493042,0.343400712
Tb927.10.890,,,,,,,,none,,Tb927.10.890;Tb11.v5.0833,"kinesin, putative;kinesin, putative",0,GO:0003774|motor activity; GO:0005875|microtubule associated complex; GO:0005524|ATP binding; GO:0008017|microtubule binding; GO:0005871|kinesin complex; GO:0007018|microtubule-based movement; GO:0003777|microtubule motor activity,,,,,,,0.639519012,,,,,,,,0.528675208,,,,,,,,,,,,
Tb927.10.8910,,,,,,,,none,,Tb927.10.8910,Nucleoporin NUP181,0,GO:0044611|nuclear pore inner ring; GO:0005634|nucleus; GO:0005643|nuclear pore; GO:0046907|intracellular transport,,,,,0.945250683,0.769226077,0.640872415,,0.398506173,,,,0.919577797,,,0.618530723,,0.245488841,,,,,,,0.583566571,0.365356623,0.291519422
Tb927.10.8920,0.829568786,0.007166497,12.80058742,0.270011367,0.226540124,0.008354194,12.92383009,4,0.001735884,Tb927.10.8920,"ras-like small GTPase, putative",1,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005737|cytoplasm; GO:0005525|GTP binding,,,,,0.908171454,0.858263813,0.701322533,0.457942036,0.294045265,,,,,0.92016885,0.828432554,0.678408199,0.385160342,0.296422675,,,,,0.9705351,0.820001766,0.66228712,0.356785295,0.370427424
Tb927.10.8930,0.92805784,,24.77105371,,6.83E-10,,17.14841475,9,0.018184206,Tb927.10.8930,"paraflagellar rod component, putative",1,none,,0.920927008,,0.917364831,0.856768236,0.812501572,0.711733766,0.415118374,0.32016632,,0.9109062,,0.937502929,0.841656797,0.779629501,0.690575802,0.391761112,0.279917309,,0.910758666,0.782416404,0.901304959,0.860259933,0.817901402,0.715438951,0.396657819,0.254704317
Tb927.10.8940,0.975829183,0.071858484,20.32887301,2.025779767,0.039461439,0.07298256,14.907206,7,0.029456617,Tb927.10.8940,"flagellum targeting protein kharon1, putative",1,GO:0006605|protein targeting; GO:0003729|mRNA binding; GO:0030863|cortical cytoskeleton; GO:0020016|ciliary pocket; GO:0009405|pathogenesis; GO:0032403|protein-containing complex binding,0.945601996,0.928903923,0.971802176,0.968306892,0.945341255,0.846217662,0.702243727,0.408562273,0.294424784,0.974897865,0.961944107,0.92481722,0.969241616,0.93557614,0.836691378,0.695714414,0.380447951,0.278369227,0.942272845,0.966866955,0.974522371,0.967773537,0.9364341,0.842046009,0.698677221,0.402783636,0.300046204
Tb927.10.8950,0.874989514,0.02031259,11.4953326,1.724840522,0.193888273,0.030829591,10.81818192,none,0.117137448,Tb927.10.8950;Tb927.10.8970,kinetoplast-associated protein 4 isoform 1;kinetoplast-associated protein 4 isoform 2,0,GO:0006323|DNA packaging; GO:0020023|kinetoplast; GO:0003677|DNA binding; GO:0005730|nucleolus; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,,,0.975577343,0.921654916,0.789248898,0.675253867,0.437598558,0.260849462,,,,0.449919423,0.940114184,0.818279798,0.653537061,0.358197665,0.270262073,,,0.940605349,,0.957421167,0.788967523,0.615666857,0.374270927,0.276940248
Tb927.10.8960,,,,,,,,none,,Tb927.10.8960,"hypothetical protein, conserved",0,none,,,,,,,,,0.322103243,,,,,,,,,,,,,,,,0.674003407,,0.280677868
Tb927.10.8980,0.944875068,0.14806,12.49696886,3.150749769,0.062145491,0.14984561,9.488766645,2,0.031474713,Tb927.10.8980,"hypothetical protein, conserved",1,GO:0005739|mitochondrion,0.992322557,0.984033707,0.981420324,0.958985605,0.930750825,0.759586181,0.523581654,0.297092065,0.202142456,0.992822076,0.985392337,0.984780647,0.967064554,0.932875703,0.750350186,0.531185908,0.247500386,0.206807798,0.995579866,0.986075788,0.977379041,0.971255224,0.927675264,0.747093023,0.535221054,0.32780083,0.192646943
Tb927.10.8990,,,,,,,,none,,Tb927.10.8990,"hypothetical protein, conserved",0,GO:0005634|nucleus,,,,,,,,,,,,,,,0.634827279,,,,,,,,,0.704519571,0.483161016,,
Tb927.10.900,,,,,,,,none,,Tb927.10.900,"hypothetical protein, conserved",0,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005739|mitochondrion; GO:0005737|cytoplasm,,,,,,,0.643041861,0.398594416,,,,,,,,,,,,,,,,,,,
Tb927.10.9000,,,,,,,,none,,Tb927.10.9000,"hypothetical protein, conserved",0,GO:0005739|mitochondrion,,,,,,0.869946926,0.746452554,0.457335298,,,,,,,0.855692052,,0.360923423,0.247847853,,,,,,0.85443797,0.704971922,0.386766525,0.31885837
Tb927.10.9020,0.753767572,0.00961683,8.97206255,0.246022238,0.242310399,0.009023018,9.664866421,2,0.009295565,Tb927.10.9020;Tb11.v5.0508,"Gcd10p family, putative;hypothetical protein, conserved",1,GO:0031515|tRNA (m1A) methyltransferase complex; GO:0030488|tRNA methylation; GO:0010608|posttranscriptional regulation of gene expression; GO:0005643|nuclear pore; GO:0005654|nucleoplasm,,,,,0.860600916,0.738696865,0.644596128,0.399638011,0.290410117,,,,0.930917899,0.827692656,0.717267616,0.548861801,0.305302359,0.256359764,,,0.929236591,,,0.722123286,0.553660366,0.327153474,
Tb927.10.9025,,,,,,,,none,,Tb927.10.9025,hypothetical protein,0,none,,,,,,0.757082639,0.667823387,0.389631412,0.297933123,,,,,,,,,,,,,,,,0.584010611,,0.240854793
Tb927.10.9040,,,,,,,,none,,Tb927.10.9040;Tb11.v5.0509,"hypothetical protein, conserved;hypothetical protein, conserved",0,none,,,,,,,,0.389345424,0.251409963,,,,,,,,,,,,,,,,,0.467498613,0.339914755
Tb927.10.9050,0.802206009,0.009528654,15.00832033,1.083753903,0.16033825,0.0188446,13.72106665,5,0.015203935,Tb927.10.9050,"pseudouridine synthase TruD, putative",1,GO:0009451|RNA modification; GO:0003723|RNA binding; GO:0005634|nucleus; GO:0001522|pseudouridine synthesis; GO:0009982|pseudouridine synthase activity,,,0.757787311,,0.84661381,0.757731491,0.624313994,0.365168696,0.27972265,,,,0.894747917,,,0.636049857,0.355645419,0.294698808,0.950663544,,,,0.945735213,0.783409866,0.626761833,0.392762335,0.279236516
Tb927.10.9070,,,,,,,,none,,Tb927.10.9070,"hypothetical protein, conserved",0,GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0020023|kinetoplast,,,,,,0.768765133,,0.320024953,,,,,,,,,,,,,,,,0.735198289,0.588115986,0.350600743,0.227749516
Tb927.10.9080,0.653934887,0.015356217,8.28786382,1.638015834,0.283215137,0.017164125,10.40934674,2,0.04942876,Tb927.10.9080,"pteridine transporter, putative",1,GO:0016021|integral component of membrane; GO:0015224|biopterin transmembrane transporter activity; GO:0005737|cytoplasm; GO:0015877|biopterin transport,,0.870861891,,0.888749759,0.745051795,0.695576552,0.604534005,0.472205438,0.309797358,,,0.912518332,0.840284257,0.700554674,0.700467177,0.665479413,0.382386445,0.299384836,,,0.89239903,0.841871329,0.801248296,0.647595103,0.495402579,0.504780658,
Tb927.10.9090,,,,,,,,none,,Tb927.10.9090,"Cullin binding, putative",0,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005737|cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb927.10.910,,,,,,,,none,,Tb927.10.910,DNA repair and recombination helicase protein PIF6,0,GO:0006281|DNA repair; GO:0031981|nuclear lumen; GO:0000287|magnesium ion binding; GO:0004003|ATP-dependent DNA helicase activity; GO:0005634|nucleus; GO:0006310|DNA recombination; GO:0005524|ATP binding; GO:0051276|chromosome organization; GO:0000723|telomere maintenance; GO:0003678|DNA helicase activity; GO:0005737|cytoplasm,,,,,,,,,0.354299497,,,,,0.943345144,0.859125483,,,,,,,,,,,,
Tb927.10.9110,,,,,,,,none,,Tb927.10.9110,"hypothetical protein, conserved",0,GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0020023|kinetoplast,,,,,,,,,,,,,,,,,,,,,,,,0.595616608,0.35652556,,
Tb927.10.9120,,,,,,,,none,,Tb927.10.9120,"hypothetical protein, conserved",0,GO:0005739|mitochondrion,,,,,,0.851803556,0.717691816,,0.335559358,,,,,,,,,0.364863315,,,,,,,,0.416706314,0.370603359
Tb927.10.9130,,,,,,,,none,,Tb927.10.9130,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative",0,"GO:0005634|nucleus; GO:0004386|helicase activity; GO:0008380|RNA splicing; GO:0000375|RNA splicing, via transesterification reactions; GO:0004004|ATP-dependent RNA helicase activity; GO:0005524|ATP binding; GO:0005730|nucleolus; GO:0005681|spliceosomal complex; GO:0003676|nucleic acid binding",,,,,,,,0.361653734,,,,,,0.820602853,,0.637132871,,0.257073005,,,,,,0.746927275,0.618088303,0.351021257,0.288263811
Tb927.10.9140,1.018579382,,22.63072467,,3.78E-10,,15.6648517,8,0.008208585,Tb927.10.9140,"FAD dependent oxidoreductase, putative",1,GO:0016491|oxidoreductase activity; GO:0005741|mitochondrial outer membrane; GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0055114|oxidation-reduction process,,,,,,0.861630355,0.705961538,0.435483457,0.283384235,,,,,,0.822976047,0.710585888,0.364219253,0.306847124,,,,,0.929896532,0.850348515,0.725565664,0.421902915,0.294682688
Tb927.10.9150,,,,,,,,none,,Tb927.10.9150,"hypothetical protein, conserved",0,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,,,,,,0.725370594,0.426358717,0.311448673,,,,0.970510384,,,,0.332341642,,,,,,0.949371871,,0.776694057,0.428379838,0.321850512
Tb927.10.9160,,,,,,,,none,,Tb927.10.9160,"Cyclin 12, L-type",0,"GO:0005634|nucleus; GO:0005654|nucleoplasm; GO:0032403|protein-containing complex binding; GO:0045291|mRNA trans splicing, SL addition",,,,,,0.713876499,0.539329584,0.273471857,0.177812541,,,,,,0.804103391,0.567470583,0.181866664,0.254886384,0.655712567,,0.931580912,,,0.709932502,,0.30828985,0.228545072
Tb927.10.9190,0.779234922,0.057100174,15.96085322,2.189618577,0.172733749,0.05935096,15.03373414,7,0.026625003,Tb927.10.9190;Tb927.10.9190,"isoleucyl-tRNA synthetase, putative;isoleucyl-tRNA synthetase, putative",1,GO:0004812|aminoacyl-tRNA ligase activity; GO:0006428|isoleucyl-tRNA aminoacylation; GO:0004822|isoleucine-tRNA ligase activity; GO:0005739|mitochondrion; GO:0006418|tRNA aminoacylation for protein translation; GO:0000166|nucleotide binding; GO:0005524|ATP binding; GO:0002161|aminoacyl-tRNA editing activity; GO:0005737|cytoplasm,0.933912772,0.944609576,0.924234756,0.971972802,0.923333451,0.778534104,0.636063492,0.399092718,0.292107242,0.947445054,0.938587676,0.90753105,0.946212717,0.884375966,0.811642366,0.635535542,0.403406649,0.291756329,0.933273877,0.928698082,0.930592136,0.954047905,0.92583291,0.816356237,0.643447342,0.4158777,0.312402285
Tb927.10.920,0.877487606,0.026788556,8.710763827,0.922630244,0.19749494,0.033813719,8.22941255,1,0.065675968,Tb927.10.920,"Ribosomal protein L1p/L10e family, putative",1,GO:0005634|nucleus; GO:0005730|nucleolus,0.989194644,,0.979265282,0.912877017,0.894374396,0.712049474,0.579123834,0.293894054,0.227261927,,0.877516427,0.915062737,0.942094875,0.896331466,0.675149088,0.543461664,0.31037384,0.239646868,0.941431737,0.968978564,,0.95152474,0.896357728,0.726977114,0.533471916,0.291578349,0.215287414
Tb927.10.9200,,,,,,,,none,,Tb927.10.9200,"Nuclease-related domain containing protein, putative",0,GO:0005635|nuclear envelope; GO:0005783|endoplasmic reticulum,,,,,,0.695015061,0.658070907,,,,,,,,0.75316211,0.505419108,0.250268791,,,,,,,,,0.281739139,0.216470042
Tb927.10.9230,,,,,,,,none,,Tb927.10.9230,"beta adaptin, putative",0,GO:0005905|clathrin-coated pit; GO:0015031|protein transport; GO:0030131|clathrin adaptor complex; GO:0030130|clathrin coat of trans-Golgi network vesicle; GO:0005488|binding; GO:0016192|vesicle-mediated transport; GO:0005802|trans-Golgi network; GO:0030276|clathrin binding; GO:0006886|intracellular protein transport; GO:0030117|membrane coat,,,,,,,,,,,,,,,0.581802609,,,,,,,,,0.727804136,0.580534912,,
Tb927.10.9240,0.704018342,0.001017479,9.900599362,1.087453247,0.246384401,0.020697164,11.0921291,3,0.009845148,Tb927.10.9240,"Tir chaperone protein (CesT) family, putative",1,GO:0036064|ciliary basal body; GO:0051286|cell tip; GO:0050708|regulation of protein secretion; GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,,,,0.85195087,0.715484798,0.552007471,0.338583219,0.31936157,,,,,,,0.541460883,0.34093034,0.229321562,,,,0.933336921,,0.717331677,0.584531497,,0.373811803
Tb927.10.9250,0.980127561,,23.24177786,,3.55E-09,,16.08840158,8,0.030293805,Tb927.10.9250,"adenylyl cyclase-associated protein, putative",1,GO:0003779|actin binding; GO:0007190|activation of adenylate cyclase activity; GO:0007010|cytoskeleton organization; GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,0.945920145,,0.93863099,0.96735251,0.933233955,0.824581191,0.689098042,0.385136625,0.271076678,0.940037941,0.982466172,0.915420173,0.942651125,0.941101996,0.831220431,0.69043055,0.366574056,0.282467502,0.919010858,0.909937432,0.829649219,0.929572063,0.893070106,0.830019848,0.702099086,0.409532738,0.29461267
Tb927.10.9260,0.957170544,,23.245834,,1.52E-10,,16.09121299,8,0.012451302,Tb927.10.9260,"hypothetical protein, conserved",1,GO:0005739|mitochondrion; GO:0005488|binding,,,,,0.935181288,0.843236806,0.713191549,0.436607677,0.286003591,,,0.967025957,0.918438264,0.856231917,0.779307127,0.635909683,0.397345932,0.274119745,0.944696041,0.931921351,0.926629941,0.867105454,0.867870459,0.823952981,0.693691246,0.403065614,0.296372307
Tb927.10.9280,0.872265451,,25.24962598,,2.46E-10,,17.48013576,9,0.026882933,Tb927.10.9280;Tb11.v5.0485,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005739|mitochondrion; GO:0020023|kinetoplast,,,,,0.868225384,0.643519649,0.616331188,0.28342137,0.284466928,,,,,,0.763746524,0.624927196,0.42040032,0.250163555,,0.869184421,,,,,0.653358874,0.377679675,0.340502353
Tb927.10.930,,,,,,,,none,,Tb927.10.930,"hypothetical protein, conserved",0,GO:0005737|cytoplasm,,,,0.784461881,0.554389012,0.279056866,0.099165486,,,,,,0.751628489,0.475611809,0.21029797,,,,,,,0.623912245,0.550819932,,,,
Tb927.10.9330,0.9355743,,14.50371821,,2.27E-10,,10.03164008,2,0.035423019,Tb927.10.9330,"hypothetical protein, conserved",1,GO:0003729|mRNA binding; GO:0010608|posttranscriptional regulation of gene expression,0.940426888,,,,0.841686016,0.813742866,0.610677307,0.154839985,,0.948285561,0.908812337,0.870411295,,0.831845997,0.704930437,0.537446314,0.245026861,,,0.915569911,0.909771289,0.89088146,0.877709164,0.769713511,0.647573817,0.188441596,0.112803719
Tb927.10.9350,,,,,,,,none,,Tb927.10.9350,"hypothetical protein, conserved",0,GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0020023|kinetoplast,,,,,,,0.456549638,,,,,,,,0.658254117,,,,,,,,,,,,
Tb927.10.9360,,,,,,,,none,,Tb927.10.9360,"L-2-hydroxyglutarate dehydrogenase, mitochondrial, putative",0,GO:0016491|oxidoreductase activity; GO:0005739|mitochondrion; GO:0020023|kinetoplast; GO:0055114|oxidation-reduction process,,,,,,,0.779307857,0.422877048,0.248083702,,,,,,0.566694447,,,,,,,,,,0.671312201,0.373671161,0.256301123
Tb927.10.9380,,,,,,,,none,,Tb927.10.9380,"SEP domain/UBX domain containing protein, putative",0,GO:0005515|protein binding; GO:0005929|cilium,,,,,0.657825167,0.413570248,0.167388456,,,,,,,,,,,,,,,,0.66440475,,,,
Tb927.10.9390,,,,,,,,none,,Tb927.10.9390,"Macrocin-O-methyltransferase (TylF), putative",0,GO:0005739|mitochondrion; GO:0020023|kinetoplast,,,,,,,,,,,,,,,,,,,,,,,,,,0.396782624,
Tb927.10.940,,,,,,,,none,,Tb927.10.940,"hypothetical protein, conserved",0,GO:0005737|cytoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tb927.10.9400,0.892140647,0.060699557,15.54345038,8.225738333,0.120020713,0.157575346,12.99360942,5,0.023541913,Tb927.10.9400,splicing factor 1,1,"GO:0005634|nucleus; GO:0003723|RNA binding; GO:0005515|protein binding; GO:0003714|transcription corepressor activity; GO:0000398|mRNA splicing, via spliceosome; GO:0000245|spliceosomal complex assembly; GO:0005654|nucleoplasm",,,,,,0.795013352,0.666759916,0.360710095,0.292481685,,,,,0.849521791,0.802537112,0.654816903,0.308733744,0.257118517,,,,0.896308683,,0.736031089,0.651953292,0.32892225,0.277427568
Tb927.10.9410,,,,,,,,none,,Tb927.10.9410,Selenophosphate synthetase 2,0,"GO:0016260|selenocysteine biosynthetic process; GO:0004756|selenide, water dikinase activity; GO:0005524|ATP binding; GO:0005654|nucleoplasm; GO:0006418|tRNA aminoacylation for protein translation",0.835414588,0.73637461,,,,0.735329165,0.566792879,0.35495053,0.255599992,,,,0.909326012,,,,,0.243205852,,,,,,,0.666493765,,
Tb927.10.9420,,,,,,,,none,,Tb927.10.9420,"mitochondrial chaperone BCS1, putative",0,GO:0034551|mitochondrial respiratory chain complex III assembly; GO:0032979|protein insertion into mitochondrial inner membrane from matrix; GO:0005524|ATP binding; GO:0009060|aerobic respiration; GO:0005739|mitochondrion; GO:0008320|protein transmembrane transporter activity,,,,,,,,,,,,,,,,,,,,,,,,,0.723729316,,
Tb927.10.9430,0.894559187,0.309145227,17.61078812,7.983002736,0.106268453,0.310447825,14.40849355,6,0.019014927,Tb927.10.9430,"phosphoribosylpyrophosphate synthetase, putative",1,GO:0005524|ATP binding; GO:0009165|nucleotide biosynthetic process; GO:0004749|ribose phosphate diphosphokinase activity; GO:0000287|magnesium ion binding; GO:0005737|cytoplasm,,,0.967583199,0.96890257,0.914467532,0.785947915,0.660265331,0.424126854,0.314736055,0.991086539,0.986522481,0.980556129,0.969364568,0.905480104,0.789228584,0.658812412,0.366163312,0.317148801,,0.986131066,0.982396411,0.968109375,0.917196946,0.788632748,0.64917709,0.422693059,0.330773724
Tb927.10.9440,0.951093874,,27.21147437,,1.68E-10,,18.83998544,10,0.029416778,Tb927.10.9440,NADH dehydrogenase,1,"GO:0016491|oxidoreductase activity; GO:0008137|NADH dehydrogenase (ubiquinone) activity; GO:0006120|mitochondrial electron transport, NADH to ubiquinone; GO:0020023|kinetoplast; GO:0005739|mitochondrion; GO:0005737|cytoplasm; GO:0055114|oxidation-reduction process",0.947363496,0.933340177,,0.932332196,0.939929983,0.826322803,0.67543108,0.387842351,0.345778914,0.948871627,0.938768649,,0.927011003,0.917158337,0.808792881,0.663129398,0.377511626,0.335138855,0.950374799,0.933828827,0.945858465,0.931007319,0.936726711,0.802059744,0.686970001,0.434326737,0.316564357
Tb927.10.9560,,,,,,,,none,,Tb927.10.9560,"oxidoreductase, putative",0,"GO:0016491|oxidoreductase activity; GO:0008270|zinc ion binding; GO:0020022|acidocalcisome; GO:0004024|alcohol dehydrogenase activity, zinc-dependent; GO:0055114|oxidation-reduction process",,,,,,0.797892239,0.644458181,0.377077416,0.265092168,,,,0.880051283,,,0.650951669,,0.236002956,,,,,0.929386762,,0.632439782,0.325324661,0.23109085
Tb927.10.9570,0.936433237,0.186157761,25.65974079,8.57715069,1.16E-13,0.000778132,17.76440568,10,0.023810393,Tb927.10.9570;Tb11.v5.0579,"paraflagellar rod component, putative;hypothetical protein, conserved",1,GO:0005515|protein binding,0.938840152,0.925144875,0.936330467,0.956708921,0.901939695,0.833029048,0.703631469,0.401400599,0.308473409,0.93739498,0.923263752,0.918326994,0.922354722,0.882997316,0.838440111,0.708739912,0.42369394,0.29993893,0.939045113,0.923653019,0.921062115,0.926714187,0.884441977,0.824884463,0.747952559,0.399219164,0.313968508
Tb927.10.9590,,,,,,,,none,,Tb927.10.9590;Tb927.10.9590,"hypothetical protein, conserved;hypothetical protein, conserved",0,GO:0005515|protein binding,,,,,,,,0.323057783,0.219916071,0.739026292,,,0.383259239,0.648114046,,0.582964946,0.243445714,,,,0.768399695,,,0.725182482,0.658239179,0.360205825,
Tb927.10.9640,0.821319399,0.102417545,19.65447555,5.445807878,0.127713675,0.120799178,16.91838464,9,0.040206545,Tb927.10.9640,"hypothetical protein, conserved",1,none,,0.882834345,,,,0.879131562,0.670076336,0.437621898,0.332434128,,0.795506569,,,0.862138906,0.82566164,0.664204294,0.419056243,0.322142622,,0.889708999,0.891862618,,0.885901245,0.84311924,0.67575594,0.445827502,0.293523701
Tb927.10.9650,0.886129867,0.045091916,21.72946352,1.502670502,0.059741564,0.04591639,16.55466232,9,0.010373927,Tb927.10.9650;Tb11.v5.0399,"Nucleoporin NUP152;hypothetical protein, conserved",1,GO:0031080|nuclear pore outer ring; GO:0005634|nucleus; GO:0005643|nuclear pore,0.952767678,0.929284427,0.927333428,0.917700264,0.886292819,0.794552776,0.665670014,0.416820259,0.318217239,,,0.932360228,0.924855491,0.850310712,0.764438718,0.674094171,0.402291905,0.295612141,,0.922952387,0.931118214,0.881641487,0.939140623,0.795154682,0.671864926,0.411323442,0.30964019
Tb927.10.9660,,,,,,,,none,,Tb927.10.9660,"Splicing factor CRN, putative",0,GO:0005515|protein binding; GO:0005634|nucleus; GO:0006396|RNA processing,,,,,,,,,,,,,,,,0.583377216,,,,,,,,,,,
Tb927.10.9670,,,,,,,,none,,Tb927.10.9670,"ADP-ribosylation factor family, putative",0,GO:0005525|GTP binding,,,,,,,,0.35661459,,,,,,,,,,,,,,,,,0.511862878,,
Tb927.10.9680,,,,,,,,none,,Tb927.10.9680,"SET domain containing protein, putative",0,GO:0005515|protein binding,,,,,,,,,,,,,,,,,,,,,,,0.902283605,,,,
Tb927.10.9690,,,,,,,,none,,Tb927.10.9690,predicted C2 domain protein,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,
