protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb927.1.560,0.821267279,0.224704333,4.877153106,2.479568795,0.126608221,0.241907995,4.146827617,2,0.021604738,Tb927.1.560,"WD domain, G-beta repeat, putative",1,GO:0005515|protein binding; GO:0005634|nucleus; GO:0005730|nucleolus,,0.851903003,,0.712191526,0.500064494,0.25736835,0.75695983,,0.878573732,,0.662664589,0.442101217,0.367771202,,0.946325134,,,0.72303705,0.464132013,,
Tb927.1.570,,,,,,,,none,,Tb927.1.570,"Histone-lysine N-methyltransferase, H3 lysine-76 specific",0,GO:0005634|nucleus; GO:0031981|nuclear lumen; GO:0020033|antigenic variation; GO:0051726|regulation of cell cycle; GO:0018024|histone-lysine N-methyltransferase activity,,,,,,,,,,,,,,,,,,,,,
Tb927.1.600,,,,,,,,none,,Tb927.1.600,"phosphate-repressible phosphate permease, putative",0,GO:0006817|phosphate ion transport; GO:0015114|phosphate ion transmembrane transporter activity; GO:0016020|membrane; GO:0005315|inorganic phosphate transmembrane transporter activity,,,,,,,,,,,,,,,,,,,,,
Tb927.1.610,,,,,,,,none,,Tb927.1.610,"hypothetical protein, conserved",0,none,,,,,0.590091421,,,,,,,,,,,,,,,,
Tb927.1.630,,,,,,,,none,,Tb927.1.630,histone chaperone ASF1A,0,GO:0042393|histone binding; GO:0005634|nucleus; GO:0005829|cytosol; GO:0031981|nuclear lumen; GO:0031936|negative regulation of chromatin silencing; GO:0005515|protein binding; GO:0006333|chromatin assembly or disassembly; GO:0060968|regulation of gene silencing; GO:0003682|chromatin binding,,,,,,,,,,,,0.797181403,,0.289731516,,,,,,0.486382407,0.270136206
Tb927.1.640,1.033914768,0.018648409,6.027451367,0.612037852,0.035460536,0.030359839,4.345688467,2,0.034761577,Tb927.1.640,BRCA2,1,GO:0005634|nucleus; GO:0003684|damaged DNA binding; GO:0020033|antigenic variation; GO:0000724|double-strand break repair via homologous recombination; GO:0005654|nucleoplasm,0.920156028,0.835862404,0.832958555,0.774695158,0.546998586,0.323108728,0.273622549,,0.998493529,0.923235013,0.804616948,0.57286213,0.292039082,0.181462722,,,0.836035901,0.783997579,0.574020059,0.301845716,0.172515147
Tb927.1.650,1.064906778,,9.802897995,,1.73E-11,,6.754315695,9,0.047565873,Tb927.1.650,"conserved protein, unknown function",1,GO:0006325|chromatin organization; GO:0005634|nucleus; GO:0005654|nucleoplasm,,0.982612758,0.953801381,0.88050404,0.588871518,0.41763077,0.243430709,1.033424495,,0.963706673,0.876126322,,0.407854772,0.256321019,,0.996534999,0.93215204,0.872445957,0.689860684,0.345631234,0.288173491
Tb927.1.670,0.939097111,,8.699562364,,5.40E-10,,5.989541718,7,0.027547611,Tb927.1.670,"conserved protein, unknown function",1,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,0.919220661,0.869389487,0.922643727,0.758977959,0.608560994,0.397012152,0.296575876,0.822018562,0.861118416,0.815618102,0.776394311,0.62378673,0.349138121,0.23510087,0.88616392,0.928304105,0.873788085,0.728860752,0.5767674,0.370341566,0.237603771
Tb927.1.690,0.940198401,0.250973085,10.47618427,4.688291412,7.54E-11,0.017475928,7.221002181,10,0.03288758,Tb927.1.690,"hypothetical protein, conserved",1,none,0.915792678,0.824637588,0.91776731,0.777278817,0.646836637,0.457607948,0.30529233,,0.874732205,0.885186941,0.829071611,0.658901286,0.42240184,0.247629755,0.863124095,,0.875105841,0.800890279,0.628735945,0.415279425,0.299090229
Tb927.1.700,1.023538913,,13.55167944,,4.09E-09,,9.352773037,10,0.055063462,Tb927.1.700,phosphoglycerate kinase,1,GO:0006096|glycolytic process; GO:0004618|phosphoglycerate kinase activity; GO:0020015|glycosome,0.97929001,0.966053506,0.944755681,0.91951389,0.798149707,0.528685079,0.30231349,0.966439557,0.961272941,0.956429574,0.930166308,0.799550152,0.523392086,0.313281574,0.963538964,0.962794255,0.95685572,0.91074762,0.802053473,0.528684599,0.300002936
Tb927.1.710,0.973601799,,12.65521041,,8.28E-10,,8.731388014,10,0.055641172,Tb927.1.710,phosphoglycerate kinase,1,GO:0006096|glycolytic process; GO:0004618|phosphoglycerate kinase activity; GO:0097014|ciliary plasm; GO:0005737|cytoplasm,0.963609798,0.954279007,0.926217413,0.895942238,0.766009296,0.480204153,0.263984315,0.963152938,0.948511413,0.947247319,0.912919977,0.769616802,0.459454924,0.287140937,0.958939187,0.957776024,0.939515109,0.888880163,0.781951598,0.500951944,0.26893613
Tb927.1.720,0.889571406,,9.527820578,,3.50E-09,,6.563646596,8,0.036763156,Tb927.1.720,phosphoglycerate kinase,1,GO:0006096|glycolytic process; GO:0004618|phosphoglycerate kinase activity; GO:0020015|glycosome,0.926600994,0.801309812,0.769118674,0.779336579,0.627393446,0.42735638,0.297833253,0.907300783,0.821100285,0.800979394,0.777796805,0.64811164,0.416818454,0.252262832,0.885570972,0.80884609,0.845633574,0.751164939,0.662256042,0.439995412,0.249393415
Tb927.1.730,,,,,,,,none,,Tb927.1.730,"NADH-ubiquinone oxidoreductase complex I subunit, putative",0,GO:0005747|mitochondrial respiratory chain complex I; GO:0005739|mitochondrion,,,,,,0.475292631,0.256648671,,,0.815331524,,0.538536467,0.260816524,0.305697047,,,,,,0.383422013,
Tb927.1.740,0.9137931,0.181241885,5.751809634,1.900536426,1.22E-09,0.026806959,3.946315226,2,0.02217901,Tb927.1.740,phosphatidylinositol-4-phosphate 5-kinase related,1,GO:0005739|mitochondrion; GO:0020023|kinetoplast,0.895217013,0.913723655,0.779098879,0.586849036,0.454435984,0.23552278,0.104906092,0.915632944,0.833888651,0.830512012,0.655770471,0.430550002,0.283440844,0.103189085,0.862589384,0.837324443,0.795246279,0.618108291,0.468807403,0.189880504,
Tb927.1.750,1.049989425,0.040329157,4.106282053,0.630270756,0.023313445,0.046285332,2.896610596,1,0.038128222,Tb927.1.750,Metal-binding domain-containing protein,1,none,,0.971777591,0.7917019,0.643638911,0.403572191,0.208541726,0.059095107,,0.954528386,0.727046457,0.672108511,0.449608142,0.182607446,0.07833854,,,0.756860654,0.636958997,0.430543263,0.185162887,0.055653499
Tb927.1.760,,,,,,,,none,,Tb927.1.760,wd40 repeat domain-containing protein,0,GO:0036064|ciliary basal body; GO:0005515|protein binding,,,,0.379254841,,,,,0.857022484,,,,,,,,,,,,
Tb927.1.830,,,,,,,,none,,Tb927.1.830;Tb927.1.830;Tb11.v5.0550,"hypothetical protein, conserved;hypothetical protein, conserved;hypothetical protein, conserved",0,none,,,,,,,,,,,,,,,,,,,,,
Tb927.1.840,,,,,,,,none,,Tb927.1.840,"transmembrane protein, putative",0,GO:0005739|mitochondrion,,,,0.895379497,,0.494080742,0.34009769,1.02355093,,,0.898273155,,0.456404008,0.394001003,,,,0.852096431,,,
Tb927.1.860,0.991641982,,7.986064813,,1.09E-09,,5.494982906,5,0.03708681,Tb927.1.860,"transmembrane protein, putative",1,none,0.95115903,0.927929962,0.897449414,0.785055818,0.601179486,0.306000835,0.201401502,0.935671269,0.910071249,0.907656277,0.810576006,0.608282931,0.31311614,0.175901126,0.941877146,0.953217918,0.906504532,0.814282546,0.57644214,0.340001603,0.148470788
Tb927.1.870,0.911540103,0.023973581,5.091171914,0.545165585,0.169676292,0.029589341,4.524979082,3,0.037797313,Tb927.1.870,deoxyhypusine synthase,1,GO:0008612|peptidyl-lysine modification to peptidyl-hypusine; GO:0005737|cytoplasm,,,0.9613738,0.785950055,0.562519777,0.390916681,0.294204943,1.025755171,0.995119483,0.810673567,0.766525763,0.639678927,0.376528034,0.247097623,0.958030349,1.004280589,,0.770065648,0.623657741,0.358817637,0.260030676
Tb927.1.880,0.868218728,0.067127401,6.124121945,1.668251408,0.142728279,0.085755331,5.293746018,4,0.033173421,Tb927.1.880;Tb11.v5.0418;Tb11.v5.0419,"Midasin, putative;AAA domain (dynein-related subfamily), putative;AAA domain (dynein-related subfamily), putative",1,GO:0005634|nucleus; GO:0005524|ATP binding; GO:0000027|ribosomal large subunit assembly; GO:0016887|ATPase activity,0.952244972,0.922562576,0.893187817,0.747252771,0.578424294,0.354254168,0.289817071,0.919897435,0.914992527,0.893398198,0.747066154,0.555484838,0.382277233,0.262927079,0.940294878,0.908168021,0.888278497,0.733823207,0.578428402,0.360978811,0.272572709
Tb927.1.90,0.911677,,9.830336406,,2.58E-10,,6.773334554,9,0.020364581,Tb927.1.90,"retrotransposon hot spot protein (RHS, pseudogene), putative",1,none,,0.837035827,0.79508665,0.763434019,0.5712372,0.443410251,0.257394532,0.907717443,0.87182277,,,0.58249038,0.35245697,0.26651938,0.878017318,0.898181491,,0.745754347,0.627082072,0.336101297,0.204404312
Tb927.1.990,0.9773935,,10.22340476,,3.26E-13,,7.045788771,9,0.028016869,Tb927.1.990,Enkuring domain-containig protein,1,GO:0005930|axoneme; GO:0005516|calmodulin binding,0.9596222,0.909550218,0.886593277,0.825080367,0.663859275,0.414852086,0.270522223,0.971609438,0.907392492,0.88615311,0.834571336,0.680885569,0.423816948,0.228603449,0.94928578,0.927698277,0.885031489,0.830355348,0.737703408,0.404041973,0.284515695
Tb927.10.10000,0.597235057,0.016200104,0.589495878,0.021488898,0.142196617,0.001181981,0.512470475,1,0.005344018,Tb927.10.10000,"hypothetical protein, conserved",1,none,0.789674722,0.408426515,0.28185855,0.177148359,0.146142725,,,0.766760153,0.406093366,0.274117018,0.161985721,0.139667338,,,0.676658931,0.366802054,0.228240594,0.139758038,,,
Tb927.10.10010,0.967480768,,6.668317446,,7.59E-12,,4.581590025,3,0.035330873,Tb927.10.10010,"mRNA turnover protein 4 homolog, putative",1,GO:0006412|translation; GO:0005634|nucleus; GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0005622|intracellular; GO:0042254|ribosome biogenesis; GO:0005730|nucleolus,0.96194106,0.961242617,0.843541091,0.741943698,0.497592857,0.27468171,0.161151732,0.967191011,0.926255085,0.893363,0.745455487,0.475788653,0.248360374,0.161640574,0.963032719,0.968047164,0.916378011,0.734404773,0.49029054,0.27307861,0.157500198
Tb927.10.10030,1.038429855,,11.1565354,,5.49E-11,,7.692585643,10,0.043163844,Tb927.10.10030,"hypothetical protein, conserved",1,GO:0005737|cytoplasm,1.032937204,1.000312538,0.97011161,0.908657343,0.731452844,0.453235582,0.25988674,1.030789101,1.014460637,0.98245183,0.904119832,0.759834059,0.456121577,0.256886614,,0.98918901,0.973748336,0.909380751,0.738472744,0.465113443,0.272561025
Tb927.10.10050,,,,,,,,none,,Tb927.10.10050,"hypothetical protein, conserved",0,GO:0010608|posttranscriptional regulation of gene expression; GO:0005737|cytoplasm,,0.683435018,,0.294473273,,,,,,0.539555413,0.339097356,,,,,0.662610097,0.503490262,0.311345101,,,
Tb927.10.10070,,,,,,,,none,,Tb927.10.10070,"hypothetical protein, conserved",0,GO:0005515|protein binding; GO:0005730|nucleolus,,0.673068788,,,,,,,,,,,,,,,,0.582181838,,,
Tb927.10.10080,0.968426275,0.073787565,6.921364056,1.173975982,0.058792415,0.078298482,5.186812289,4,0.025269835,Tb927.10.10080,"hypothetical protein, conserved",1,none,,0.99145695,0.962750237,0.828608339,0.566757585,0.34500093,0.253603337,0.992747908,0.954746037,0.909244583,0.814001071,0.607750211,0.340797751,0.223353465,1.020910082,1.0150745,0.96742161,0.776674522,0.59324237,0.373051865,0.253792307
Tb927.10.10090,0.651995334,0.17673609,7.573654543,2.848746708,0.164917586,0.178351289,7.400649278,10,0.023405985,Tb927.10.10090,Component of motile flagella 14,1,GO:0060285|cilium-dependent cell motility; GO:0005515|protein binding; GO:0036064|ciliary basal body,,0.751676639,0.722790076,0.691676337,0.567520358,0.324030859,,0.828926358,0.893760386,,0.640833043,0.549643829,0.411799728,,0.799843505,,0.80679962,0.620448003,0.532455202,0.441695883,0.150844169
Tb927.10.10110,,,,,,,,none,,Tb927.10.10110,"PIG-P, putative",0,GO:0017176|phosphatidylinositol N-acetylglucosaminyltransferase activity; GO:0005739|mitochondrion; GO:0005783|endoplasmic reticulum; GO:0006506|GPI anchor biosynthetic process,,,,,,,,,,,,,0.405828686,,,,,,,0.412112837,
Tb927.10.10120,0.902444283,0.411220549,4.874831265,4.144663397,0.043089464,0.459190897,3.574080372,1,0.014764067,Tb927.10.10120,"hypothetical protein, conserved",1,GO:0005739|mitochondrion; GO:0020023|kinetoplast,,0.782407113,0.766438996,0.706512866,0.459976375,0.264652096,,,0.912641739,0.817924971,0.524260311,0.447993155,,0.192929413,,0.840165919,0.76511803,0.615879168,0.414049852,,
Tb927.10.10130,0.943708365,0.026869278,6.910843207,1.092816061,0.015193105,0.050965214,4.860912443,none,0.10050735,Tb927.10.10130,mitochondrial RNA binding complex 1 subunit,0,GO:0048255|mRNA stabilization; GO:0003723|RNA binding; GO:0090615|mitochondrial mRNA processing; GO:0020023|kinetoplast; GO:0031019|mitochondrial mRNA editing complex; GO:0005739|mitochondrion; GO:0016554|cytidine to uridine editing; GO:0005488|binding,1.000182813,0.863312003,0.759013166,0.719048668,0.504241186,0.289875327,0.324640278,0.617836816,0.922496178,0.848525607,0.721388091,0.549678206,0.382121681,0.176734635,0.479111788,0.893802959,0.772229306,0.727493977,0.516523298,0.370252224,0.185918229
Tb927.10.10140,1.078317009,,9.912172457,,8.19E-12,,6.83005898,9,0.036652288,Tb927.10.10140,"paraflagellar rod component, putative",1,none,1.024376403,0.998962875,0.95339462,0.887657023,0.712724969,0.444979739,0.27737744,1.028449797,0.99176475,0.969807896,0.888013537,0.711514211,0.435282918,0.266138989,1.021005216,0.994810377,0.978584362,0.889317246,0.699473693,0.433706856,0.258304266
Tb927.10.10150,,,,,,,,none,,Tb927.10.10150,"hypothetical protein, conserved",0,GO:0005737|cytoplasm,,,,,,,,,,,,,,,,,,,,,
Tb927.10.10160,0.892785027,0.052374241,6.50487085,0.816121349,0.050091044,0.05452895,4.840524565,3,0.022405903,Tb927.10.10160,"Pentatricopeptide repeat protein (PPR), putative",1,GO:0005739|mitochondrion,0.955155385,0.823378428,0.797634665,0.776618722,0.527551154,0.302249054,0.152741967,0.955391076,0.866832429,0.834775001,0.784388884,0.543442025,0.310768776,0.186007239,0.925726528,0.881377024,0.75890633,0.705212833,0.573630242,0.31409525,0.221011535
Tb927.10.10170,0.833541495,,7.159596805,,6.76E-09,,4.922118985,3,0.035163578,Tb927.10.10170,"pre-mRNA splicing factor 46, putative",1,"GO:0005634|nucleus; GO:0005515|protein binding; GO:0000398|mRNA splicing, via spliceosome; GO:0000974|Prp19 complex; GO:0005654|nucleoplasm",,0.579342224,0.682470466,0.727717685,0.519486378,0.280792131,0.296988395,0.8265707,0.803556054,,0.686547796,0.51893825,0.32465072,0.155583824,0.831455748,0.829741974,0.815996948,0.667604883,0.529892543,0.264575903,0.154050288
Tb927.10.10180,,,,,,,,none,,Tb927.10.10180,"Miro-like protein, putative",0,GO:0005737|cytoplasm,,,0.99526047,0.940372146,0.716965348,,,,,1.024282982,,,,,,,,0.933130788,,,
Tb927.10.10200,0.794185686,0.069582224,4.478524782,1.175901071,0.096818556,0.083810915,3.638370604,1,0.025255823,Tb927.10.10200,"hypothetical protein, conserved",1,GO:0005737|cytoplasm,,0.768277824,0.708191026,0.614570541,0.412401455,,0.202653569,0.898155904,0.824602617,0.866609186,0.596043575,0.494797485,0.255972278,,,0.824328003,0.752494925,0.507082919,0.403811963,0.200622489,
Tb927.10.10280,0.968884021,,7.613081879,,2.30E-09,,5.236450846,4,0.036927877,Tb927.10.10280,"microtubule-associated protein, putative",1,GO:0036064|ciliary basal body; GO:0008017|microtubule binding; GO:0005737|cytoplasm,0.952040812,0.904633667,0.875327739,0.792445192,0.611646484,0.343279584,0.182310032,0.946442107,0.912425543,0.902111959,0.814048353,0.646301178,0.356097578,0.199899083,0.939712928,0.929190568,0.883479365,0.805734225,0.650489921,0.343835365,0.200527525
Tb927.10.10320,1.053855175,,8.774007214,,1.67E-09,,6.041142964,7,0.020944855,Tb927.10.10320,"dynein light chain Tctex-type, putative",1,GO:0007017|microtubule-based process; GO:0005875|microtubule associated complex; GO:0097542|ciliary tip; GO:0005929|cilium; GO:0005930|axoneme; GO:0003777|microtubule motor activity,1.033894295,1.002571722,0.946894175,0.843966151,0.705481005,0.420204188,0.230406053,1.022796688,1.010925114,0.97859612,0.86792937,0.674278192,0.425394178,0.234444991,1.032126045,1.006412052,0.981980346,0.893428739,0.681892304,0.421090105,0.26812238
Tb927.10.10330,0.800321479,0.076060568,5.327907802,1.127616077,0.135908944,0.089167075,4.63318335,3,0.009350027,Tb927.10.10330,Anaphase-promoting complex subunit CDC27,1,GO:0051286|cell tip; GO:0005680|anaphase-promoting complex; GO:0007049|cell cycle; GO:0005515|protein binding; GO:0005737|cytoplasm,0.970128007,0.799585436,0.810193043,0.659873544,0.513228152,0.30169985,,,0.894764137,,0.684117092,0.557466197,0.276530775,,,0.922055716,0.792455955,0.68691592,0.51766323,0.343436378,
Tb927.10.10340,1.006320802,,7.280569737,,5.21E-12,,5.005970974,4,0.037264973,Tb927.10.10340,"structural maintenance of chromosome 2, putative",1,GO:0000278|mitotic cell cycle; GO:0005730|nucleolus; GO:0005654|nucleoplasm; GO:0000070|mitotic sister chromatid segregation; GO:0008278|cohesin complex; GO:0005634|nucleus; GO:0005524|ATP binding; GO:0051276|chromosome organization; GO:0005515|protein binding; GO:0005694|chromosome; GO:0005737|cytoplasm,0.960583952,0.898320657,0.815974374,0.762573444,0.58619877,0.342701633,0.236602037,0.923187107,0.858936375,0.866166135,0.786404693,0.594946895,0.368487179,0.193104818,0.912737149,0.909979341,0.845727626,0.761967856,0.590423707,0.351746934,0.193852994
Tb927.10.10350,0.999462742,,5.075447133,,3.99E-12,,3.477496459,1,0.044763985,Tb927.10.10350,"STE/STE11 serine/threonine-protein kinase, putative",1,GO:0036064|ciliary basal body; GO:0004674|protein serine/threonine kinase activity; GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation; GO:0005737|cytoplasm,,0.811541872,0.731510548,0.718221327,0.440900261,0.182805268,0.135359013,0.877069934,0.852291534,0.826218134,0.69036918,0.460527403,0.222627969,0.074267497,,0.735396895,0.862561915,0.682616078,0.454547706,0.1910185,0.114605871
Tb927.10.10370,0.988092066,,10.9579739,,4.81E-12,,7.554953302,10,0.036298948,Tb927.10.10370;Tb927.10.10290,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005930|axoneme,0.958176368,0.950647886,0.870558816,0.867684124,0.730824335,0.461756278,0.323588518,0.938383381,0.875695819,0.918136113,0.890287876,0.765390307,0.426960684,0.310960702,,0.922158281,0.908707063,0.871679165,0.719149975,0.482589028,0.290411831
Tb927.10.10380,0.671876607,0.070785495,1.318045278,0.337121711,0.269564585,0.070474803,1.519027782,1,0.072815967,Tb927.10.10380,"ATP-dependent DEAD/H RNA helicase, putative",1,GO:0005634|nucleus; GO:0005524|ATP binding; GO:0008026|ATP-dependent helicase activity; GO:0005730|nucleolus; GO:0003676|nucleic acid binding,0.942137928,0.800655752,0.746394348,0.351220407,0.260124205,0.353809037,0.245349392,0.928419187,0.785866922,0.730234766,0.440634977,0.641764011,0.32798666,,0.952119973,0.671182792,0.546228821,0.371780753,0.450536692,0.165895986,
Tb927.10.10390,1.014438168,,8.807985611,,2.38E-10,,6.064694983,7,0.021324116,Tb927.10.10390,trypanothione reductase,1,GO:0009055|electron transfer activity; GO:0015042|trypanothione-disulfide reductase activity; GO:0015036|disulfide oxidoreductase activity; GO:0005654|nucleoplasm; GO:0020015|glycosome; GO:0016491|oxidoreductase activity; GO:0045454|cell redox homeostasis; GO:0097014|ciliary plasm; GO:0050660|flavin adenine dinucleotide binding; GO:0005737|cytoplasm; GO:0055114|oxidation-reduction process,0.978794132,0.970398335,0.895198426,0.820374813,0.672776076,0.413521569,0.27130456,0.995571955,0.965932851,0.906106012,0.851781252,0.68061481,0.423922757,0.238506566,0.964271518,0.952382603,0.905422922,0.840508631,0.65563591,0.429770944,0.249108801
Tb927.10.1040,1.01931478,,7.660467765,,1.86E-10,,5.269296223,4,0.030224767,Tb927.10.1040,"serine peptidase, Clan SC, Family S10",1,GO:0004185|serine-type carboxypeptidase activity; GO:0006508|proteolysis,1.017045863,,,0.828839768,0.633309351,0.347931733,0.213880506,,1.011450856,0.924256711,0.808955519,0.589443449,0.355586581,0.207775993,1.018061187,1.005949794,0.954913266,0.827604554,0.623065287,0.37217443,0.210682316
Tb927.10.10400,,,,,,,,none,,Tb927.10.10400,Mitochondrial ribosomal protein S11,0,GO:0005739|mitochondrion; GO:0005763|mitochondrial small ribosomal subunit,,,,0.519663462,0.530204107,,,,,,,0.316793751,,,,0.642617144,0.630811293,0.49368817,0.488285681,,0.249091121
Tb927.10.10410,,,,,,,,none,,Tb927.10.10410;Tb11.v5.0535,"DNA replication licensing factor MCM8, putative;minichromosome maintenance (MCM) complex subunit, putative",0,GO:0005634|nucleus; GO:0005524|ATP binding; GO:0042555|MCM complex; GO:0003677|DNA binding; GO:0005654|nucleoplasm; GO:0005737|cytoplasm; GO:0006270|DNA replication initiation,,,,,,0.041095904,,,,,,,0.027593265,,,,,,,0.056659211,
Tb927.10.10420,0.681617113,0.024397319,4.405113583,0.457221155,0.254780124,0.028399436,5.047367504,4,0.016164374,Tb927.10.10420,"monothiol glutaredoxin, putative",1,GO:0031981|nuclear lumen; GO:0009055|electron transfer activity; GO:0015036|disulfide oxidoreductase activity; GO:0005739|mitochondrion; GO:0045454|cell redox homeostasis; GO:0097014|ciliary plasm; GO:0003756|protein disulfide isomerase activity; GO:0015035|protein disulfide oxidoreductase activity; GO:0005737|cytoplasm; GO:0055114|oxidation-reduction process,,0.8562937,0.830621101,0.664456901,0.505988719,0.373125406,0.213277195,0.876742048,0.868585433,0.81354513,0.705509865,0.512683044,0.356614174,0.311040704,0.948776089,0.865402102,0.779399954,0.742189011,0.538919462,0.384450949,0.232794521
Tb927.10.10590,1.083373637,,7.714668488,,2.40E-11,,5.3068653,4,0.033636259,Tb927.10.10590;Tb927.10.10580;Tb927.10.10570;Tb927.10.10560;Tb927.10.10550;Tb927.10.10540;Tb927.10.10530;Tb927.10.10520;Tb927.10.10510;Tb927.10.10500;Tb927.10.10490;Tb927.10.10480;Tb927.10.10470;Tb927.10.10460;Tb927.10.10445,"histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;histone H2B, putative;Core histone H2A/H2B/H3/H4, putative",1,GO:0006334|nucleosome assembly; GO:0005634|nucleus; GO:0046982|protein heterodimerization activity; GO:0051276|chromosome organization; GO:0003677|DNA binding; GO:0005654|nucleoplasm; GO:0000786|nucleosome,1.039127935,1.014862498,0.981771253,0.887230541,0.678355867,0.371131706,0.237175256,1.032424092,1.014953419,0.984070218,0.894994911,0.680115651,0.38982524,0.222231452,1.034707571,1.015550496,0.979002133,0.900076693,0.685072987,0.399518012,0.223970739
Tb927.10.1060,1.008408527,,7.373129223,,3.68E-12,,5.070128321,4,0.021110468,Tb927.10.1060,"T-complex protein 1, delta subunit, putative",1,GO:0005832|chaperonin-containing T-complex; GO:0051082|unfolded protein binding; GO:0005524|ATP binding; GO:0051726|regulation of cell cycle; GO:0006457|protein folding; GO:0005737|cytoplasm,0.981187315,0.947069911,0.898335163,0.795144054,0.584043324,0.322063896,0.175888443,0.971275401,0.947963206,0.903962143,0.81003394,0.583455034,0.331475123,0.188854951,0.970870614,0.956575542,0.912269424,0.799245837,0.589718969,0.345616325,0.180399507
Tb927.10.10600,1.056841497,0.089301797,5.068688097,0.745366213,0.073521996,0.038068508,3.834077126,2,0.020630103,Tb927.10.10600,"ARP2/3 complex 16kDa subunit, putative",1,GO:0015629|actin cytoskeleton; GO:0003779|actin binding; GO:0034314|Arp2/3 complex-mediated actin nucleation; GO:0007010|cytoskeleton organization; GO:0005885|Arp2/3 protein complex; GO:0005737|cytoplasm; GO:0030833|regulation of actin filament polymerization,,0.8534929,,0.7990927,0.540006835,0.297114065,0.163717595,,,,0.784841863,0.60405582,0.290925809,0.183103572,,,0.872019787,0.694164618,0.611543763,0.283307313,0.164825971
Tb927.10.10610,1.04556609,0.401968558,11.00073358,6.828838534,6.53E-10,0.058547875,7.584592061,10,0.03698173,Tb927.10.10610,"protein tyrosine phosphatase, putative",1,GO:0020015|glycosome; GO:0004725|protein tyrosine phosphatase activity; GO:0005743|mitochondrial inner membrane,,0.980341397,0.955397077,0.885891256,0.792674241,0.46734931,0.319785722,,0.960144429,0.963246201,0.74289638,0.738408441,0.51098573,0.229008798,1.017041616,0.992366977,0.952524958,0.881875297,,0.512470079,0.332687363
Tb927.10.10620,0.90627684,,7.637877979,,5.30E-11,,5.253638175,4,0.032349527,Tb927.10.10620,"hypothetical protein, conserved",1,none,0.90469266,0.895281229,0.823587153,0.734568662,0.573823124,0.290769176,0.172198183,0.8976244,0.877160026,0.780462215,0.767587761,0.589198429,0.30479091,0.188076248,0.894108892,0.859065798,0.83262952,0.791577886,0.566079938,0.327214207,0.188544599
Tb927.10.10630,0.992013456,,10.82721862,,2.80E-10,,7.464320648,none,0.107445081,Tb927.10.10630,"hypothetical protein, conserved",0,none,,0.836148482,,0.84793283,0.704377651,0.493374118,0.286728668,0.961530933,0.726654114,0.903294051,0.874679026,0.635683427,0.446355507,0.288820459,0.521709298,0.89475123,0.872894824,0.841731389,0.668331276,0.43386708,0.356004936
Tb927.10.10650,,,,,,,,none,,Tb927.10.10650,"cytosolic Fe-S cluster assembly factor NAR1, putative",0,GO:0031981|nuclear lumen; GO:0097014|ciliary plasm; GO:0005737|cytoplasm,,,0.684181468,0.631118265,0.526297846,,,,,0.688802897,0.68512496,0.447254859,,,0.806374385,0.768960504,,0.605655916,,,
Tb927.10.10690,1.054894754,0.202824128,8.494484539,4.332746581,4.21E-10,0.041813672,5.8473926,6,0.01282429,Tb927.10.10690,"CEP19-like protein, putative",1,GO:0036064|ciliary basal body,,0.829750142,,0.856492733,0.689649042,0.374089968,0.234766172,,,,0.817216992,0.697562563,0.416187949,0.211347279,,,0.920968652,0.777875393,0.642770957,0.420557763,0.307809275
Tb927.10.1070,1.05837098,,7.724455287,,2.86E-12,,5.313648992,4,0.023461346,Tb927.10.1070,cdc2-related kinase 1,1,GO:0000278|mitotic cell cycle; GO:0000262|mitochondrial chromosome; GO:0005829|cytosol; GO:0007049|cell cycle; GO:0005741|mitochondrial outer membrane; GO:0005739|mitochondrion; GO:0005634|nucleus; GO:0004672|protein kinase activity; GO:0004674|protein serine/threonine kinase activity; GO:0005524|ATP binding; GO:0097472|cyclin-dependent protein kinase activity; GO:0006468|protein phosphorylation; GO:0005737|cytoplasm,1.031081142,0.99249779,0.9312765,0.832457651,0.63034449,0.346464571,0.240651084,0.998513359,0.986166989,0.953215511,0.854166567,0.63908709,0.366865062,0.212456071,1.003271705,0.994318019,0.922547423,0.839199755,0.633602971,0.357484956,0.187146741
Tb927.10.10700,0.850368061,1.077878297,11.11111393,28.75956385,7.46E-08,1.230652407,7.661102855,none,0.191059149,Tb927.10.10700,splicing factor Prp31,0,GO:0003723|RNA binding; GO:0005634|nucleus; GO:0008380|RNA splicing; GO:0005654|nucleoplasm,0.35443533,,,0.739991468,0.651765671,0.362272289,0.253373206,0.503131673,,0.863550714,0.790515874,0.627082006,0.386985356,0.289366765,,,,0.770509781,0.537901255,0.402640998,0.333755933
